"year","fishing_entity","nutrient","Direct human consumption","Discards","Fishmeal and fish oil","Other","discard_ratio"
2014,"Taiwan","Vitamin A, RAE",39714512805.7734,29042111429.259,58722029.9203966,20018567.1770772,0.731272005558559
2018,"Israel","DHA+EPA",6612757.33236521,4833711.43455647,NA,978.979690157143,0.730967611785563
2017,"Australia","Iron",347774346.740203,253392295.76572,174061.234604706,174061.234604706,0.728611233522096
2014,"Brazil","DHA+EPA",886772310.693023,645607008.275256,1030208.14940251,474984.509451021,0.728041460575947
2017,"New Zealand","Calcium",62821846945.0683,45711274483.3581,31442365.8383725,31442365.8383725,0.727633406310519
2015,"New Zealand","Calcium",52169778661.3272,37924810711.4943,26111000.3309946,26111000.3309946,0.726949810496464
2014,"Ukraine","Protein",7199209585.75727,5222549783.28246,290498464.877756,3459544.87775639,0.725433774509721
2017,"Israel","Zinc",9511481.58464029,6860103.6679433,NA,1833.996375,0.721244488242653
2015,"Israel","DHA+EPA",9606677.92462616,6910539.07008518,NA,768.680349308571,0.719347429392883
2016,"Libya","Calcium",3712456801.26963,2667323797.01427,1730482.37085451,1730482.37085451,0.718479416676865
2015,"Australia","Calcium",29051452143.2158,20865833085.0108,14716114.0241496,16967603.5391958,0.718237180783525
2018,"Israel","Vitamin B12",19051916.4883834,13682878.557423,NA,3843,0.718189089573531
2016,"Brazil","DHA+EPA",813932071.434507,584271291.886546,407373.40912638,407373.40912638,0.717837903667812
2014,"Israel","DHA+EPA",9419253.57123642,6751028.77294649,NA,768.680349308571,0.716726513612725
2016,"Brunei Darussalam","Zinc",57328585.0171919,40984601.491278,NA,473.225205312608,0.714906908638812
2018,"Chile","Vitamin B12",60446161.5166668,43143774.5760941,NA,NA,0.713755406357741
2015,"Brazil","DHA+EPA",785065779.757174,560188266.089888,918624.550705205,420856.415642996,0.713555832561136
2017,"Libya","Calcium",3746529864.73808,2667323797.01427,1742601.71556407,1742601.71556407,0.711945158136553
2018,"Australia","Iron",352344261.250002,250566799.450888,176348.479104105,176348.479104105,0.711141990966333
2017,"Israel","Vitamin A, RAE",207289972.654553,147239913.725313,NA,75151.125,0.710308906117167
2016,"Mauritania","Vitamin B12",3464663198.10719,2459863541.74595,1555650.87043059,1555650.87043059,0.709986339535057
2015,"Australia","Protein",4261271780.53228,3022081865.32196,2205726.35192937,2190414.11999355,0.70919716482962
2015,"Libya","Calcium",3761360508.41287,2667323797.01427,1756947.52989098,1756947.52989098,0.709138034242764
2017,"Chile","Vitamin B12",55929220.6563909,39613117.218812,27992.6029311265,27992.6029311265,0.708272290475505
2016,"Tunisia","Vitamin B12",399732263.338679,282726106.520833,200066.197867207,200066.197867207,0.707288684079246
2018,"Israel","Vitamin A, RAE",216767922.930972,153305080.442043,NA,75151.125,0.707231394613961
