"year","fishing_entity","nutrient","Direct human consumption","Discards","Fishmeal and fish oil","Other","fmfo_dhc_ratio","dhc_fmfo_ratio"
2016,"Unknown Fishing Country","Zinc",12168800.2523618,NA,0,NA,Inf,0
2017,"Albania","Calcium",4940106985.41208,2009603848.23692,0,4945052.03744953,Inf,0
2017,"Albania","DHA+EPA",32599862.5650843,13262396.4209885,0,32632.4950601445,Inf,0
2017,"Albania","Iron",95247035.6392916,38429767.4732457,0,95342.3780173089,Inf,0
2017,"Albania","Protein",769404531.44728,311830837.942064,0,770174.706153433,Inf,0
2017,"Albania","Vitamin A, RAE",1349983215.49063,548860618.918942,0,1351334.55004067,Inf,0
2017,"Albania","Vitamin B12",93051745.1885659,36963204.3316252,0,93144.8900786445,Inf,0
2017,"Albania","Zinc",40895094.1651457,16235518.2828123,0,40936.0301953411,Inf,0
2017,"Algeria","Calcium",64326531398.0279,27921628837.0576,0,11710578.7153817,Inf,0
2017,"Algeria","DHA+EPA",363580550.169138,79957237.4768879,0,107858.012251768,Inf,0
2017,"Algeria","Iron",889201414.013222,616938793.813907,0,113969.776590134,Inf,0
2017,"Algeria","Protein",5727287950.36996,3328035359.66706,0,1156937.4466485,Inf,0
2017,"Algeria","Vitamin A, RAE",6298297868.27026,79338598423.3501,0,992322.437175507,Inf,0
2017,"Algeria","Vitamin B12",1578867918.95481,536703860.738521,0,285383.35595854,Inf,0
2017,"Algeria","Zinc",467042959.184612,294964391.603161,0,87511.6136387259,Inf,0
2017,"Belize","Calcium",1583664878.41133,1360995730.52858,0,NA,Inf,0
2017,"Belize","DHA+EPA",10606471.2481886,5751288.53256027,0,NA,Inf,0
2017,"Belize","Iron",38189270.5292159,38478230.2203109,0,NA,Inf,0
2017,"Belize","Protein",230965395.736392,158412478.301839,0,NA,Inf,0
2017,"Belize","Vitamin A, RAE",526464986.222956,507274528.846032,0,NA,Inf,0
2017,"Belize","Vitamin B12",39359267.3010173,35595059.1392857,0,NA,Inf,0
